metric,metricType,metricDisplayName,metricExplanatory,parentKPI,Category,SunburstCode,SunburstWeight,normalBottom,normalTop,lowBottom,lowTop,midBottom,midTop,highBottom,highTop
psInitialContextSetupResponsesPerEmmEstablishmentCauseCode,counter,Ps Initial Context Setup Responses Per Emm Establishment Cause Code,Number of ps Initial Context Setup Responses Per Emm Establishment Cause Code,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Ps Initial Context Setup Responses Per Emm Establishment Cause Code,1440.387097,,,,,,,,
failedPsInitialContextSetupResponsesWithErabCause,counter,Failed Ps Initial Context Setup Responses With Erab Cause,Number of failed Ps Initial Context Setup Responses With Erab Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Failed Ps Initial Context Setup Responses With Erab Cause,1440.387097,,,,,,,,
usersFailedPsInitialContextSetupResponsesWithS1APCause,counter,Users Failed Ps Initial Context Setup Responses With S1 Ap Cause,Number of users Failed Ps Initial Context Setup Responses With S1 AP Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Failed Ps Initial Context Setup Responses With S1 Ap Cause,1440.387097,,,,,,,,
psInitialContextSetupResponsesWithEsmCause,counter,Ps Initial Context Setup Responses With Esm Cause,Number of ps Initial Context Setup Responses With Esm Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Ps Initial Context Setup Responses With Esm Cause,1440.387097,,,,,,,,
usersFailedPsInitialContextSetupResponsesWithErabCause,counter,Users Failed Ps Initial Context Setup Responses With Erab Cause,Number of users Failed Ps Initial Context Setup Responses With Erab Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Failed Ps Initial Context Setup Responses With Erab Cause,1440.387097,,,,,,,,
usersFailedPsInitialContextSetupResponsesWithEmmEstablishmentCause,counter,Users Failed Ps Initial Context Setup Responses With Emm Establishment Cause,Number of users Failed Ps Initial Context Setup Responses With Emm Establishment Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Failed Ps Initial Context Setup Responses With Emm Establishment Cause,1440.387097,,,,,,,,
usersPsInitialContextSetupResponsesPerEmmEstablishmentCauseCode,counter,Users Ps Initial Context Setup Responses Per Emm Establishment Cause Code,Number of users Ps Initial Context Setup Responses Per Emm Establishment Cause Code,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Ps Initial Context Setup Responses Per Emm Establishment Cause Code,1440.387097,,,,,,,,
usersFailedPsInitialContextSetupResponsesWithEsmCause,counter,Users Failed Ps Initial Context Setup Responses With Esm Cause,Number of users Failed Ps Initial Context Setup Responses With Esm Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Failed Ps Initial Context Setup Responses With Esm Cause,1440.387097,,,,,,,,
usersPsInitialContextSetupFailedResponses,counter,Users Ps Initial Context Setup Failed Responses,Number of users Ps Initial Context Setup Failed Responses,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Ps Initial Context Setup Failed Responses,1440.387097,,,,,,,,
usersFailedPsInitialContextSetupResponsesWithHoCause,counter,Users Failed Ps Initial Context Setup Responses With Ho Cause,Number of users Failed Ps Initial Context Setup Responses With Ho Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Failed Ps Initial Context Setup Responses With Ho Cause,1440.387097,,,,,,,,
usersPsInitialContextSetupResponsesWithEmmEstablishmentCause,counter,Users Ps Initial Context Setup Responses With Emm Establishment Cause,Number of users Ps Initial Context Setup Responses With Emm Establishment Cause,psInitialContextSetupSuccessRate,Network Accessibility,Network Accessibility-PS Initial Context Setup Success Rate (%)-Users Ps Initial Context Setup Responses With Emm Establishment Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsePerDelay,counter,Ps Pdp Context Activation Response Per Delay,Number of ps Pdp Context Activation Response Per Delay,psPdpContextActivationDelay,Network Accessibility,Network Accessibility-Pdp Context Activation Delay-Ps Pdp Context Activation Response Per Delay,1440.387097,,,,,,,,
psPdpContextActivationWithResponseTimeThresholdViolation,counter,Ps Pdp Context Activation With Response Time Threshold Violation,Number of ps Pdp Context Activation With Response Time Threshold Violation,psPdpContextActivationDelay,Network Accessibility,Network Accessibility-Pdp Context Activation Delay-Ps Pdp Context Activation With Response Time Threshold Violation,1440.387097,,,,,,,,
usersPsPdpContextActivationWithResponseTimeThresholdViolation,counter,Users Ps Pdp Context Activation With Response Time Threshold Violation,Number of users Ps Pdp Context Activation With Response Time Threshold Violation,psPdpContextActivationDelay,Network Accessibility,Network Accessibility-Pdp Context Activation Delay-Users Ps Pdp Context Activation With Response Time Threshold Violation,1440.387097,,,,,,,,
psPdpContextActivationResponses,counter,Ps Pdp Context Activation Responses,Number of ps Pdp Context Activation Responses,psPdpContextActivationDelay,Network Accessibility,Network Accessibility-Pdp Context Activation Delay-Ps Pdp Context Activation Responses,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsePerDelay,counter,Users Ps Pdp Context Activation Response Per Delay,Number of users Ps Pdp Context Activation Response Per Delay,psPdpContextActivationDelay,Network Accessibility,Network Accessibility-Pdp Context Activation Delay-Users Ps Pdp Context Activation Response Per Delay,1440.387097,,,,,,,,
usersPsPdpContextActivationResponses,counter,Users Ps Pdp Context Activation Responses,Number of users Ps Pdp Context Activation Responses,psPdpContextActivationDelay,Network Accessibility,Network Accessibility-Pdp Context Activation Delay-Users Ps Pdp Context Activation Responses,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerGmmCauseCode,counter,Ps Pdp Context Activation Responses Per Gmm Cause Code,Number of ps Pdp Context Activation Responses Per Gmm Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Gmm Cause Code,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithRabCause,counter,Ps Pdp Context Activation Responses With Rab Cause,Number of ps Pdp Context Activation Responses With Rab Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Rab Cause,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithSuspendResumeCause,counter,Users Failed Ps Pdp Context Activation Responses With Suspend Resume Cause,Number of users Failed Ps Pdp Context Activation Responses With Suspend Resume Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Suspend Resume Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerRadioCauseCode,counter,Users Ps Pdp Context Activation Responses Per Radio Cause Code,Number of users Ps Pdp Context Activation Responses Per Radio Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Radio Cause Code,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithRanapCause,counter,Ps Pdp Context Activation Responses With Ranap Cause,Number of ps Pdp Context Activation Responses With Ranap Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Ranap Cause,1440.387097,,,,,,,,
psPdpContextActivationAttemptsWithTimeout,counter,Ps Pdp Context Activation Attempts With Timeout,Number of ps Pdp Context Activation Attempts With Timeout,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Attempts With Timeout,1440.387097,,,,,,,,
usersPsPdpContextActivationAttemptsWithTimeout,counter,Users Ps Pdp Context Activation Attempts With Timeout,Number of users Ps Pdp Context Activation Attempts With Timeout,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Attempts With Timeout,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithRejectCause,counter,Users Ps Pdp Context Activation Responses With Reject Cause,Number of users Ps Pdp Context Activation Responses With Reject Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Reject Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerRadioCauseCode,counter,Ps Pdp Context Activation Responses Per Radio Cause Code,Number of ps Pdp Context Activation Responses Per Radio Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Radio Cause Code,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerGmmCauseCode,counter,Users Ps Pdp Context Activation Responses Per Gmm Cause Code,Number of users Ps Pdp Context Activation Responses Per Gmm Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Gmm Cause Code,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerSuspendResumeCauseCode,counter,Users Ps Pdp Context Activation Responses Per Suspend Resume Cause Code,Number of users Ps Pdp Context Activation Responses Per Suspend Resume Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Suspend Resume Cause Code,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithRadioCause,counter,Users Failed Ps Pdp Context Activation Responses With Radio Cause,Number of users Failed Ps Pdp Context Activation Responses With Radio Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Radio Cause,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithRabCause,counter,Failed Ps Pdp Context Activation Responses With Rab Cause,Number of failed Ps Pdp Context Activation Responses With Rab Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Rab Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationFailedResponses,counter,Users Ps Pdp Context Activation Failed Responses,Number of users Ps Pdp Context Activation Failed Responses,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Failed Responses,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithRabCause,counter,Users Ps Pdp Context Activation Responses With Rab Cause,Number of users Ps Pdp Context Activation Responses With Rab Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Rab Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithBssgpCause,counter,Ps Pdp Context Activation Responses With Bssgp Cause,Number of ps Pdp Context Activation Responses With Bssgp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Bssgp Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithRanapCause,counter,Users Ps Pdp Context Activation Responses With Ranap Cause,Number of users Ps Pdp Context Activation Responses With Ranap Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Ranap Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerSmCauseCode,counter,Users Ps Pdp Context Activation Responses Per Sm Cause Code,Number of users Ps Pdp Context Activation Responses Per Sm Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Sm Cause Code,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithRejectCause,counter,Ps Pdp Context Activation Responses With Reject Cause,Number of ps Pdp Context Activation Responses With Reject Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Reject Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithSuspendResumeCause,counter,Ps Pdp Context Activation Responses With Suspend Resume Cause,Number of ps Pdp Context Activation Responses With Suspend Resume Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Suspend Resume Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponses,counter,Users Ps Pdp Context Activation Responses,Number of users Ps Pdp Context Activation Responses,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerBssgpCauseCode,counter,Ps Pdp Context Activation Responses Per Bssgp Cause Code,Number of ps Pdp Context Activation Responses Per Bssgp Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Bssgp Cause Code,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithRanapCause,counter,Failed Ps Pdp Context Activation Responses With Ranap Cause,Number of failed Ps Pdp Context Activation Responses With Ranap Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Ranap Cause,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithRejectCause,counter,Failed Ps Pdp Context Activation Responses With Reject Cause,Number of failed Ps Pdp Context Activation Responses With Reject Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Reject Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerRanapCauseCode,counter,Ps Pdp Context Activation Responses Per Ranap Cause Code,Number of ps Pdp Context Activation Responses Per Ranap Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Ranap Cause Code,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithSmCause,counter,Failed Ps Pdp Context Activation Responses With Sm Cause,Number of failed Ps Pdp Context Activation Responses With Sm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Sm Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationAttempts,counter,Users Ps Pdp Context Activation Attempts,Number of users Ps Pdp Context Activation Attempts,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Attempts,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerSuspendResumeCauseCode,counter,Ps Pdp Context Activation Responses Per Suspend Resume Cause Code,Number of ps Pdp Context Activation Responses Per Suspend Resume Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Suspend Resume Cause Code,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithSuspendResumeCause,counter,Failed Ps Pdp Context Activation Responses With Suspend Resume Cause,Number of failed Ps Pdp Context Activation Responses With Suspend Resume Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Suspend Resume Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerBssgpCauseCode,counter,Users Ps Pdp Context Activation Responses Per Bssgp Cause Code,Number of users Ps Pdp Context Activation Responses Per Bssgp Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Bssgp Cause Code,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithRanapCause,counter,Users Failed Ps Pdp Context Activation Responses With Ranap Cause,Number of users Failed Ps Pdp Context Activation Responses With Ranap Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Ranap Cause,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithRejectCause,counter,Users Failed Ps Pdp Context Activation Responses With Reject Cause,Number of users Failed Ps Pdp Context Activation Responses With Reject Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Reject Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerRanapCauseCode,counter,Users Ps Pdp Context Activation Responses Per Ranap Cause Code,Number of users Ps Pdp Context Activation Responses Per Ranap Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Ranap Cause Code,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithGmmCause,counter,Users Failed Ps Pdp Context Activation Responses With Gmm Cause,Number of users Failed Ps Pdp Context Activation Responses With Gmm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Gmm Cause,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithGmmCause,counter,Failed Ps Pdp Context Activation Responses With Gmm Cause,Number of failed Ps Pdp Context Activation Responses With Gmm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Gmm Cause,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithRadioCause,counter,Failed Ps Pdp Context Activation Responses With Radio Cause,Number of failed Ps Pdp Context Activation Responses With Radio Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Radio Cause,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithBssgpCause,counter,Failed Ps Pdp Context Activation Responses With Bssgp Cause,Number of failed Ps Pdp Context Activation Responses With Bssgp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Bssgp Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerSccpCauseCode,counter,Users Ps Pdp Context Activation Responses Per Sccp Cause Code,Number of users Ps Pdp Context Activation Responses Per Sccp Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Sccp Cause Code,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithBssgpCause,counter,Users Ps Pdp Context Activation Responses With Bssgp Cause,Number of users Ps Pdp Context Activation Responses With Bssgp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Bssgp Cause,1440.387097,,,,,,,,
failedPsPdpContextActivationResponsesWithSccpCause,counter,Failed Ps Pdp Context Activation Responses With Sccp Cause,Number of failed Ps Pdp Context Activation Responses With Sccp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Failed Ps Pdp Context Activation Responses With Sccp Cause,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithSccpCause,counter,Users Failed Ps Pdp Context Activation Responses With Sccp Cause,Number of users Failed Ps Pdp Context Activation Responses With Sccp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Sccp Cause,1440.387097,,,,,,,,
psPdpContextActivationResponses,counter,Ps Pdp Context Activation Responses,Number of ps Pdp Context Activation Responses,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerSccpCauseCode,counter,Ps Pdp Context Activation Responses Per Sccp Cause Code,Number of ps Pdp Context Activation Responses Per Sccp Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Sccp Cause Code,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithRadioCause,counter,Users Ps Pdp Context Activation Responses With Radio Cause,Number of users Ps Pdp Context Activation Responses With Radio Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Radio Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithRadioCause,counter,Ps Pdp Context Activation Responses With Radio Cause,Number of ps Pdp Context Activation Responses With Radio Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Radio Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithSmCause,counter,Ps Pdp Context Activation Responses With Sm Cause,Number of ps Pdp Context Activation Responses With Sm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Sm Cause,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithBssgpCause,counter,Users Failed Ps Pdp Context Activation Responses With Bssgp Cause,Number of users Failed Ps Pdp Context Activation Responses With Bssgp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Bssgp Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerRabCauseCode,counter,Ps Pdp Context Activation Responses Per Rab Cause Code,Number of ps Pdp Context Activation Responses Per Rab Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Rab Cause Code,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithSmCause,counter,Users Ps Pdp Context Activation Responses With Sm Cause,Number of users Ps Pdp Context Activation Responses With Sm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Sm Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerRabCauseCode,counter,Users Ps Pdp Context Activation Responses Per Rab Cause Code,Number of users Ps Pdp Context Activation Responses Per Rab Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Rab Cause Code,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithGmmCause,counter,Ps Pdp Context Activation Responses With Gmm Cause,Number of ps Pdp Context Activation Responses With Gmm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Gmm Cause,1440.387097,,,,,,,,
psPdpContextActivationFailedResponses,counter,Ps Pdp Context Activation Failed Responses,Number of ps Pdp Context Activation Failed Responses,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Failed Responses,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithSmCause,counter,Users Failed Ps Pdp Context Activation Responses With Sm Cause,Number of users Failed Ps Pdp Context Activation Responses With Sm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Sm Cause,1440.387097,,,,,,,,
psPdpContextActivationAttempts,counter,Ps Pdp Context Activation Attempts,Number of ps Pdp Context Activation Attempts,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Attempts,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesPerRejectCauseCode,counter,Users Ps Pdp Context Activation Responses Per Reject Cause Code,Number of users Ps Pdp Context Activation Responses Per Reject Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses Per Reject Cause Code,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithSuspendResumeCause,counter,Users Ps Pdp Context Activation Responses With Suspend Resume Cause,Number of users Ps Pdp Context Activation Responses With Suspend Resume Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Suspend Resume Cause,1440.387097,,,,,,,,
usersFailedPsPdpContextActivationResponsesWithRabCause,counter,Users Failed Ps Pdp Context Activation Responses With Rab Cause,Number of users Failed Ps Pdp Context Activation Responses With Rab Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Failed Ps Pdp Context Activation Responses With Rab Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerRejectCauseCode,counter,Ps Pdp Context Activation Responses Per Reject Cause Code,Number of ps Pdp Context Activation Responses Per Reject Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Reject Cause Code,1440.387097,,,,,,,,
psPdpContextActivationResponsesWithSccpCause,counter,Ps Pdp Context Activation Responses With Sccp Cause,Number of ps Pdp Context Activation Responses With Sccp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses With Sccp Cause,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithSccpCause,counter,Users Ps Pdp Context Activation Responses With Sccp Cause,Number of users Ps Pdp Context Activation Responses With Sccp Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Sccp Cause,1440.387097,,,,,,,,
psPdpContextActivationResponsesPerSmCauseCode,counter,Ps Pdp Context Activation Responses Per Sm Cause Code,Number of ps Pdp Context Activation Responses Per Sm Cause Code,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Ps Pdp Context Activation Responses Per Sm Cause Code,1440.387097,,,,,,,,
usersPsPdpContextActivationResponsesWithGmmCause,counter,Users Ps Pdp Context Activation Responses With Gmm Cause,Number of users Ps Pdp Context Activation Responses With Gmm Cause,psPdpContextActivationSuccessRate,Network Accessibility,Network Accessibility-Pdp Context Activation SuccessRate-Users Ps Pdp Context Activation Responses With Gmm Cause,1440.387097,,,,,,,,
usersPsS1mmeDedicatedEpsBearerContextActivationWithResponseTimeThresholdViolation,counter,Users Ps S1Mme Dedicated Eps Bearer Context Activation With Response Time Threshold Violation,Number of users Ps S1mme Dedicated Eps Bearer Context Activation With Response Time Threshold Violation,psS1mmeDedicatedEpsBearerContextActivationDelay,Network Accessibility,Network Accessibility-Dedicated Bearer Context Activation Delay (ms)-Users Ps S1Mme Dedicated Eps Bearer Context Activation With Response Time Threshold Violation,1440.387097,,,,,,,,
psS1mmeDedicatedEpsBearerContextActivationResponsePerDelay,counter,Ps S1Mme Dedicated Eps Bearer Context Activation Response Per Delay,Number of ps S1mme Dedicated Eps Bearer Context Activation Response Per Delay,psS1mmeDedicatedEpsBearerContextActivationDelay,Network Accessibility,Network Accessibility-Dedicated Bearer Context Activation Delay (ms)-Ps S1Mme Dedicated Eps Bearer Context Activation Response Per Delay,1440.387097,,,,,,,,
